Rk,Player,Age,Pos,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,YR,TEAM
7,Kevin Huerter,26,SG,1,24.1,3.6,10,0.357,2.6,6.9,0.375,1,3.1,0.318,0.486,0.3,0.6,0.5,0.7,1.9,2.6,2.4,1.1,0,1,2,10,,2025,CHI
8,Zach Collins,27,PF,2,22.2,3.8,7.4,0.514,0.8,2.8,0.286,3,4.6,0.652,0.568,2.6,3,0.867,3.2,4.4,7.6,2.4,1,0.4,1,2.4,11,,2025,CHI
9,Lonzo Ball,27,PG,13,21.9,2.5,6.8,0.365,1.9,5.4,0.341,0.6,1.3,0.467,0.502,0.6,0.8,0.815,0.7,2.7,3.4,3.3,1.4,0.5,1.1,1.6,7.4,,2025,CHI
10,Tre Jones,25,PG,0,16.7,2.7,5.3,0.514,0.4,1,0.429,2.3,4.3,0.533,0.554,1.6,1.6,1,0.6,1.4,2,2.3,1,0.1,0.3,0.6,7.4,,2025,CHI
11,Matas Buzelis,20,SF,8,15.7,2.4,5.6,0.43,0.9,2.7,0.348,1.5,2.9,0.506,0.514,0.9,1.1,0.817,0.6,2.3,2.9,0.7,0.3,0.8,0.7,1.5,6.6,,2025,CHI
12,Jalen Smith,24,C,1,15,3,6.3,0.475,1.2,3.5,0.352,1.7,2.8,0.631,0.573,1.2,1.4,0.836,1.4,4,5.4,0.9,0.2,0.7,0.6,1.5,8.4,,2025,CHI
13,Julian Phillips,21,SF,3,13.3,1.5,3.5,0.438,0.6,1.9,0.33,0.9,1.6,0.565,0.527,0.7,1,0.737,0.9,1.2,2,0.4,0.5,0.2,0.4,1.3,4.5,,2025,CHI
14,Dalen Terry,22,SG,1,12.7,1.5,3.2,0.47,0.4,1.2,0.344,1.1,2.1,0.542,0.533,0.7,1.1,0.679,0.6,0.9,1.5,1.2,0.5,0.2,0.7,1.5,4.2,,2025,CHI
15,Torrey Craig,34,SF,1,12.6,2.4,5,0.489,1.7,3.9,0.429,0.8,1.1,0.7,0.656,0.3,0.4,0.75,0.9,1.9,2.8,0.6,0.2,0.1,0,1.7,6.9,,2025,CHI
16,Talen Horton-Tucker,24,SG,0,11.3,2,4.6,0.443,0.7,2,0.365,1.3,2.5,0.505,0.523,0.9,1.2,0.725,0.3,1.4,1.7,1.3,0.4,0.2,0.7,1,5.7,,2025,CHI
17,Jevon Carter,29,PG,0,7.2,1.3,3.2,0.407,0.9,2.3,0.371,0.4,0.9,0.5,0.541,0.3,0.4,0.8,0.1,0.9,0.9,1,0.3,0,0.3,0.3,3.7,,2025,CHI
18,Adama Sanogo,22,C,0,5.3,1,1.8,0.571,0,0,,1,1.8,0.571,0.571,0,0,,1.3,0.3,1.5,0.3,0,0,0.3,0.3,2,,2025,CHI
19,E.J. Liddell,24,PF,0,5.2,0.8,1.3,0.625,0.5,1,0.5,0.3,0.3,1,0.813,0.3,0.3,1,0.2,0.7,0.8,0.5,0.2,0.2,0.3,1.3,2.5,,2025,CHI
20,Chris Duarte,27,SG,0,4.4,0.7,1.5,0.462,0.4,0.9,0.4,0.4,0.6,0.545,0.577,0.4,0.5,0.75,0.3,0.9,1.2,0.5,0,0,0.1,0.4,2.1,,2025,CHI
,Team Totals,,,59,240.8,42.5,91.9,0.463,16,43.2,0.371,2494,5378.8,0.544,0.55,15.3,19,0.804,9.9,2659.1,45.2,28.9,7.6,4.7,15,17.7,116.4,,2025,CHI
1,Donovan Mitchell,28,SG,55,31.1,8.4,18.5,0.455,3.6,9.1,0.395,4.9,9.5,0.513,0.552,3.5,4.3,0.818,0.7,3.5,4.3,4.8,1.3,0.2,2,2,24,,2025,CLE
2,Darius Garland,25,PG,54,30.1,7.6,15.5,0.493,2.9,6.9,0.425,4.7,8.5,0.549,0.589,3.1,3.6,0.871,0.6,2,2.5,6.7,1.2,0.2,2.5,2,21.3,,2025,CLE
3,Evan Mobley,23,PF,52,30,7.2,12.6,0.571,1.1,2.9,0.367,6.2,9.8,0.631,0.613,3.2,4.2,0.757,2.2,7,9.3,3.1,0.9,1.6,1.9,2,18.7,,2025,CLE
4,Jarrett Allen,26,C,58,28.6,5.6,7.9,0.705,0,0.1,0,5.6,7.8,0.709,0.705,2.4,3.2,0.734,2.7,7.6,10.3,1.9,0.9,0.9,1.2,1.5,13.5,,2025,CLE
5,Max Strus,28,SF,16,24.8,3.1,7.3,0.423,2.2,5.9,0.38,0.9,1.4,0.595,0.575,0.4,0.4,0.846,0.9,3.3,4.2,3.1,0.6,0.3,1,2,8.8,,2025,CLE
6,De'Andre Hunter,27,SF,1,24.7,4.5,9,0.5,2.8,5,0.567,1.7,4,0.417,0.657,2.2,2.7,0.813,0.3,3.2,3.5,1,0.3,0.2,0.8,2.5,14,,2025,CLE
7,Caris LeVert,30,SF,3,23.8,3.6,7.8,0.453,1.6,3.9,0.405,2,3.9,0.5,0.554,1.5,2.2,0.699,0.6,2.2,2.8,3.7,0.9,0.5,1.3,1.3,10.2,,2025,CLE
8,Dean Wade,28,PF,26,22.4,2,4.9,0.406,1.4,4.1,0.344,0.6,0.9,0.697,0.548,0.3,0.7,0.52,1,4.1,5.1,1.6,0.8,0.4,0.4,2,5.7,,2025,CLE
9,Georges Niang,31,PF,1,20.6,3.3,6.8,0.477,1.8,4.4,0.4,1.5,2.4,0.618,0.606,0.5,0.6,0.793,0.7,3,3.7,1.3,0.3,0.1,0.9,2.5,8.7,,2025,CLE
10,Isaac Okoro,24,SG,18,19.7,2,4.7,0.433,1.1,2.8,0.398,0.9,1.9,0.484,0.55,0.7,0.9,0.724,0.8,1.4,2.3,1.6,0.6,0.4,0.4,1.9,5.8,,2025,CLE
11,Sam Merrill,28,SG,2,19.3,2.3,6,0.389,1.8,5.2,0.35,0.5,0.8,0.641,0.541,0.6,0.6,0.964,0.5,1.5,2,1.5,0.7,0.2,0.5,1.9,7.1,,2025,CLE
12,Ty Jerome,27,SG,2,19.2,4.3,8.3,0.522,1.6,3.5,0.444,2.8,4.8,0.58,0.617,1.6,1.9,0.881,0.7,1.7,2.5,3.4,1.2,0,1.3,1.5,11.8,,2025,CLE
13,Jaylon Tyson,22,SG,2,9.5,1.2,2.6,0.465,0.4,1,0.368,0.8,1.6,0.525,0.535,0.4,0.5,0.778,0.8,1.3,2.1,0.9,0.2,0.1,0.5,1.1,3.2,,2025,CLE
14,Craig Porter Jr.,24,PG,0,9.2,1.3,2.3,0.553,0.4,0.8,0.467,0.9,1.5,0.6,0.635,0.3,0.4,0.769,0.3,0.9,1.2,1.4,0.4,0.3,0.6,0.4,3.2,,2025,CLE
15,Tristan Thompson,33,C,0,7.5,0.7,1.6,0.44,0,0.1,0,0.7,1.5,0.468,0.44,0.2,0.7,0.227,0.6,2.2,2.8,0.6,0,0.3,0.4,0.9,1.6,,2025,CLE
16,Luke Travers,23,SG,0,6.1,0.3,1.2,0.273,0,0.4,0,0.3,0.8,0.429,0.273,0.2,0.2,1,0.6,0.8,1.3,0.6,0.1,0.1,0.6,0.4,0.9,,2025,CLE
17,Javonte Green,31,SG,0,6,2,2,1,0,0,,2,2,1,1,0,0,,0,3,3,0,0,0,0,0,4,,2025,CLE
18,JT Thor,22,PF,0,4.7,1,1.7,0.6,0.3,0.7,0.5,0.7,1,0.667,0.7,0.8,0.9,0.875,0.3,0.3,0.7,0.1,0.2,0.3,0.7,0.7,3.1,,2025,CLE
19,Nae'Qwan Tomlin,24,PF,0,4.7,1.3,2.7,0.5,0,0.7,0,1.3,2,0.667,0.5,0.7,1,0.667,0.3,1.7,2,0,0,0,0.3,0.7,3.3,,2025,CLE
20,Emoni Bates,21,SF,0,3.9,0.3,2,0.143,0.3,1.6,0.182,0,0.4,0,0.214,0,0,,0,0,0,0.6,0.1,0,0,0.3,0.9,,2025,CLE
,Team Totals,,,58,240,45.1,90.4,0.499,16.2,41.1,0.394,2598.8,5202.9,0.586,0.588,16.6,21.1,0.783,10.8,2613.2,45.2,29,8.3,4.4,13.2,18.5,122.9,,2025,CLE
1,Nikola JokiÄ,29,C,52,36,11.1,19.3,0.575,2,4.5,0.445,9.1,14.8,0.614,0.627,4.9,6,0.821,3,9.6,12.6,10.4,1.8,0.7,3.2,2.1,29.2,,2025,DEN
2,Jamal Murray,27,PG,51,35.9,7.9,16.6,0.475,2.4,5.9,0.4,5.5,10.7,0.516,0.546,3,3.5,0.87,0.6,3.2,3.8,6.1,1.4,0.5,2.2,2,21.1,,2025,DEN
3,Christian Braun,23,SG,55,33.1,5.8,10.1,0.575,0.9,2.6,0.367,4.8,7.5,0.646,0.622,2.3,2.8,0.826,1.3,3.8,5.1,2.2,1.1,0.5,1,2.2,14.9,,2025,DEN
4,Michael Porter Jr.,26,SF,55,33.1,7.1,13.7,0.516,2.6,6.3,0.41,4.5,7.5,0.605,0.609,1.9,2.5,0.75,1.8,4.9,6.7,2.2,0.6,0.5,1.3,1.8,18.6,,2025,DEN
5,Russell Westbrook,36,PG,27,27.5,4.8,10.4,0.468,1.2,3.5,0.328,3.7,6.8,0.54,0.524,2,3.1,0.638,1.4,3.6,5,6.3,1.4,0.5,3.1,2.5,12.8,,2025,DEN
6,Aaron Gordon,29,PF,26,26.9,4.7,9,0.519,1.2,2.9,0.43,3.4,6.1,0.561,0.588,2.5,3.1,0.796,1.6,3.3,4.9,3.2,0.5,0.2,1.2,1.5,13,,2025,DEN
7,Peyton Watson,22,SF,12,24.1,2.9,6.2,0.471,0.7,2,0.34,2.3,4.2,0.532,0.525,1.6,2.1,0.752,0.8,2.6,3.4,1.5,0.9,1.2,0.9,1.7,8.1,,2025,DEN
8,Julian Strawther,22,SG,4,22.2,3.4,7.8,0.433,1.6,4.4,0.361,1.8,3.4,0.525,0.534,1.1,1.4,0.835,0.3,2,2.3,1.4,0.6,0.3,0.9,2.5,9.5,,2025,DEN
9,Dario Å ariÄ,30,C,4,14.2,1.3,3.9,0.333,0.4,1.7,0.25,0.9,2.1,0.4,0.389,0.5,0.7,0.7,1,2.5,3.5,1.6,0.5,0.1,1,1.3,3.5,,2025,DEN
10,DeAndre Jordan,36,C,2,11.6,1.5,2.3,0.653,0,0,,1.5,2.3,0.653,0.653,0.3,0.8,0.424,1.4,3.3,4.7,0.8,0.3,0.5,0.7,1.3,3.4,,2025,DEN
11,Jalen Pickett,25,SG,0,10.7,1.3,3,0.444,0.6,1.6,0.381,0.7,1.4,0.513,0.543,0.1,0.1,1,0.2,0.9,1.1,1.8,0.3,0.1,0.4,0.5,3.3,,2025,DEN
12,Zeke Nnaji,24,PF,2,9.1,1.2,2.4,0.517,0.2,0.8,0.241,1,1.6,0.655,0.557,0.3,0.5,0.588,0.5,1,1.5,0.2,0.3,0.5,0.2,0.9,2.9,,2025,DEN
13,Vlatko ÄanÄar,27,PF,0,8.5,1,1.8,0.571,0.3,0.5,0.5,0.8,1.3,0.6,0.643,0,0,,0.8,1.3,2,0,0,0.3,0.5,1,2.3,,2025,DEN
14,Hunter Tyson,24,PF,0,7.7,0.7,1.9,0.365,0.4,1.2,0.306,0.3,0.6,0.48,0.466,0.4,0.6,0.696,0.4,1.2,1.5,0.4,0.1,0.1,0.3,0.9,2.1,,2025,DEN
15,Trey Alexander,21,SG,0,4.4,0.4,1.3,0.292,0.1,0.6,0.2,0.3,0.8,0.357,0.333,0.1,0.1,1,0,0.5,0.5,0.4,0.1,0.1,0.2,0.4,1,,2025,DEN
16,PJ Hall,22,C,0,3.1,0.4,0.9,0.429,0,0.3,0,0.4,0.6,0.667,0.429,0.2,0.3,0.75,0.3,0.8,1.1,0.2,0,0.1,0.1,0.4,1,,2025,DEN
17,Spencer Jones,23,SF,0,2.7,0.2,0.8,0.222,0.1,0.5,0.167,0.1,0.3,0.333,0.278,0,0,,0.2,0.3,0.5,0,0.3,0,0.2,0.4,0.5,,2025,DEN
,Team Totals,,,58,241.7,45.8,90.1,0.509,12,31.4,0.381,2644,5191.6,0.577,0.575,17.8,22.9,0.777,11.3,2651.7,45.9,31.3,8.2,4.7,14.4,17.6,121.3,,2025,DEN
1,Cade Cunningham,23,PG,54,35.5,9.6,20.9,0.459,2.3,6.4,0.363,7.3,14.5,0.501,0.515,4.2,5,0.851,0.8,5.4,6.3,9.5,1,0.8,4.4,2.6,25.7,,2025,DET
2,Tobias Harris,32,PF,57,32.1,5.3,11.2,0.472,1.2,3.7,0.333,4.1,7.5,0.541,0.527,1.9,2.2,0.873,0.9,5,5.9,2.2,0.9,0.8,1.1,1.9,13.8,,2025,DET
3,Jaden Ivey,22,SG,30,29.9,6.3,13.8,0.46,2.1,5.1,0.409,4.2,8.6,0.49,0.536,2.8,3.9,0.733,1.3,2.8,4.1,4,0.9,0.4,3,2.2,17.6,,2025,DET
4,Tim Hardaway Jr.,32,SG,55,28.4,3.4,8.4,0.407,2.1,5.7,0.374,1.3,2.7,0.477,0.533,1.5,1.8,0.832,0.2,2.1,2.3,1.6,0.5,0.1,0.7,1.2,10.5,,2025,DET
5,Malik Beasley,28,SG,12,27.4,5.8,13,0.444,4,9.4,0.425,1.8,3.6,0.493,0.597,1.1,1.7,0.667,0.6,2.3,2.9,1.7,1,0.1,1,1.5,16.7,,2025,DET
6,Jalen Duren,21,C,56,25.8,4.6,6.7,0.697,0,0,,4.6,6.7,0.697,0.697,1.8,2.6,0.682,3.6,6.7,10.3,2.6,0.7,1.1,1.8,3.1,11.1,,2025,DET
7,Ausar Thompson,22,SF,26,21.2,3.9,7.1,0.553,0.2,0.9,0.219,3.8,6.3,0.599,0.566,1.3,2.2,0.585,1.6,3.3,4.9,2.2,1.8,0.5,1.4,2.8,9.4,,2025,DET
8,Isaiah Stewart,23,C,3,19.9,2.4,4.4,0.54,0.2,0.7,0.282,2.1,3.6,0.592,0.564,0.9,1.1,0.783,2,3.7,5.7,1.7,0.4,1.3,0.9,2.4,5.8,,2025,DET
9,Dennis SchrÃ¶der,31,PG,0,18.2,2.3,7.5,0.311,0.8,3.3,0.25,1.5,4.2,0.36,0.367,2.7,3.2,0.842,0,1.8,1.8,4.2,0.3,0.2,1.2,1.7,8.2,,2025,DET
10,Simone Fontecchio,29,SF,0,17.4,2,5.3,0.381,1,3.2,0.321,1,2.1,0.472,0.478,1.1,1.3,0.838,0.7,2.3,3.1,0.9,0.4,0.2,0.8,1.3,6.1,,2025,DET
11,Ron Holland,19,SF,1,15.6,2.3,5.2,0.443,0.5,2.1,0.236,1.8,3.2,0.581,0.49,1,1.3,0.789,0.5,2.2,2.7,0.9,0.6,0.1,0.9,1.8,6.2,,2025,DET
12,Marcus Sasser,24,PG,0,14.1,2.3,4.9,0.456,0.9,2.6,0.36,1.3,2.3,0.563,0.551,0.5,0.6,0.821,0.3,0.9,1.2,2.3,0.6,0.1,0.9,1.3,6,,2025,DET
13,Wendell Moore Jr.,23,SG,1,11,1.2,2.5,0.46,0.2,0.7,0.286,1,1.8,0.528,0.5,0.7,0.7,0.929,0.6,1.7,2.2,1.2,0.5,0.2,0.5,0.8,3.2,,2025,DET
14,Paul Reed,25,C,0,9.2,1.6,3.1,0.525,0.2,0.6,0.286,1.4,2.4,0.588,0.554,0.8,1,0.781,0.9,1.6,2.5,0.9,0.9,0.5,0.5,1.6,4.2,,2025,DET
15,Cole Swider,25,SF,0,6.5,0,2.5,0,0,2.5,0,0,0,,0,0,0,,0,1,1,0.5,0,0,0,0.5,0,,2025,DET
16,Lindy Waters III,27,SG,0,5,0.3,1.7,0.2,0.3,1.7,0.2,0,0,,0.3,0,0,,0.3,0,0.3,0.3,0.3,0,0,0.7,1,,2025,DET
17,Alondes Williams,25,SG,0,4,2,2,1,1,1,1,1,1,1,1.25,0,0,,0,0,0,1,0,0,0,0,5,,2025,DET
18,Bobi Klintman,21,SF,0,2.5,0,0.5,0,0,0.3,0,0,0.3,0,0,0,0,,0,0.5,0.5,0.3,0,0,0,0.5,0,,2025,DET
19,Daniss Jenkins,23,PG,0,2,0,0.8,0,0,0.8,0,0,0,,0,0,0,,0,0,0,0,0,0,0.2,0.4,0,,2025,DET
,Team Totals,,,59,241.7,42.5,89.8,0.473,13,35.9,0.363,2492,5260.1,0.547,0.546,16.3,21,0.778,11.5,2666.5,45.4,26.3,8,5.1,15.5,20.2,114.3,,2025,DET
1,Stephen Curry,36,PG,49,32,7.8,17.8,0.439,4.3,11.1,0.387,3.6,6.8,0.524,0.559,3.4,3.6,0.927,0.5,3.9,4.4,6.1,1,0.4,2.8,1.3,23.3,,2025,GSW
2,Andrew Wiggins,29,SF,43,30.1,6.1,13.7,0.444,2.2,5.8,0.379,3.9,7.9,0.491,0.524,3.2,4.2,0.777,1.5,3,4.6,2.3,0.9,0.8,1.3,1.6,17.6,,2025,GSW
3,Jimmy Butler,35,SF,7,29.7,5.4,11.9,0.458,0.1,1.6,0.091,5.3,10.3,0.514,0.464,7,8,0.875,3.1,2.9,6,5.4,1.4,0.3,0.9,1.3,18,,2025,GSW
4,Draymond Green,34,PF,42,28.3,3.1,7.2,0.432,1.1,3.5,0.329,2,3.7,0.528,0.511,1.4,2.1,0.645,1,4.8,5.8,5.7,1.3,1.1,2.4,3,8.7,,2025,GSW
5,Dennis SchrÃ¶der,31,SG,18,26.2,3.9,10.5,0.375,1.5,4.8,0.322,2.4,5.7,0.419,0.448,1.2,1.6,0.744,0.4,1.9,2.3,4.4,1,0.1,2,2.8,10.6,,2025,GSW
